cache_size, BMRC_ratio, OMRC_ratio
21240499358, 0.724977, 0.709778
42480998717, 0.638256, 0.621254
63721498075, 0.582008, 0.564911
84961997434, 0.54119, 0.524522
106202496792, 0.509784, 0.493745
127442996151, 0.484705, 0.469336
148683495509, 0.464073, 0.449359
169923994868, 0.446795, 0.432698
191164494226, 0.432016, 0.418493
212404993585, 0.419275, 0.406274
233645492943, 0.408162, 0.395628
254885992302, 0.398399, 0.386289
276126491661, 0.389669, 0.377954
297366991019, 0.3819, 0.370539
318607490378, 0.374896, 0.363851
339847989736, 0.368575, 0.357813
361088489095, 0.362864, 0.352354
382328988453, 0.357659, 0.347381
403569487812, 0.352922, 0.342842
424809987170, 0.348578, 0.338663
446050486529, 0.344581, 0.334823
467290985887, 0.340915, 0.331303
488531485246, 0.337541, 0.328058
509771984604, 0.334412, 0.325042
531012483963, 0.331517, 0.322242
552252983322, 0.328845, 0.319658
573493482680, 0.326373, 0.317265
594733982039, 0.324084, 0.315034
615974481397, 0.321941, 0.312949
637214980756, 0.319939, 0.311
658455480114, 0.318065, 0.30917
679695979473, 0.316325, 0.307472
700936478831, 0.314682, 0.305854
722176978190, 0.313147, 0.304346
743417477548, 0.311715, 0.30293
764657976907, 0.310375, 0.301599
785898476265, 0.309101, 0.300341
807138975624, 0.307915, 0.299162
828379474983, 0.306798, 0.298042
849619974341, 0.305747, 0.296988
870860473700, 0.304752, 0.295988
892100973058, 0.303811, 0.295039
913341472417, 0.302923, 0.294141
934581971775, 0.302076, 0.293283
955822471134, 0.301274, 0.292472
977062970492, 0.300514, 0.291699
998303469851, 0.299795, 0.290964
1019543969209, 0.299104, 0.29026
1040784468568, 0.298458, 0.289601
1062024967927, 0.297847, 0.288972
1083265467285, 0.297266, 0.288371
1104505966644, 0.296711, 0.287798
1125746466002, 0.296176, 0.287251
1146986965361, 0.295671, 0.286725
1168227464719, 0.295202, 0.286237
1189467964078, 0.294742, 0.285762
1210708463436, 0.294306, 0.285308
1231948962795, 0.293893, 0.284878
1253189462153, 0.293502, 0.284471
1274429961512, 0.293136, 0.284089
1295670460870, 0.292779, 0.283714
1316910960229, 0.292444, 0.283363
1338151459588, 0.292121, 0.283023
1359391958946, 0.291813, 0.282699
1380632458305, 0.291517, 0.282391
1401872957663, 0.291236, 0.282098
1423113457022, 0.290968, 0.281818
1444353956380, 0.290712, 0.281551
1465594455739, 0.29047, 0.281297
1486834955097, 0.290237, 0.281053
1508075454456, 0.290014, 0.280821
1529315953814, 0.289803, 0.280603
1550556453173, 0.289602, 0.280396
1571796952531, 0.289408, 0.280195
1593037451890, 0.289227, 0.280007
1614277951249, 0.289063, 0.279834
1635518450607, 0.288905, 0.279669
1656758949966, 0.288755, 0.279511
1677999449324, 0.288613, 0.279365
1699239948683, 0.288476, 0.279224
1720480448041, 0.288351, 0.279095
1741720947400, 0.288234, 0.278973
1762961446758, 0.288124, 0.27886
1784201946117, 0.288023, 0.278754
1805442445475, 0.287928, 0.278656
1826682944834, 0.287842, 0.278566
1847923444192, 0.287758, 0.27848
1869163943551, 0.287684, 0.278401
1890404442910, 0.287617, 0.278331
1911644942268, 0.287556, 0.278267
1932885441627, 0.2875, 0.278209
1954125940985, 0.287454, 0.278161
1975366440344, 0.287411, 0.278117
1996606939702, 0.287375, 0.278079
2017847439061, 0.287342, 0.278045
2039087938419, 0.287315, 0.278017
2060328437778, 0.287297, 0.277998
2081568937136, 0.287283, 0.277984
2102809436495, 0.287274, 0.277976
2124049935854, 0.287272, 0.277973
