cache_size, BMRC_ratio, OMRC_ratio
4396, 1, 1
8792, 1, 1
13188, 1, 1
17584, 1, 1
21980, 1, 1
26377, 1, 1
30773, 1, 1
35169, 1, 1
39565, 1, 1
43961, 1, 1
48358, 1, 1
52754, 1, 1
57150, 1, 1
61546, 1, 1
65942, 1, 1
70339, 1, 1
74735, 1, 1
79131, 1, 1
83527, 1, 1
87923, 1, 1
92319, 1, 1
96716, 1, 1
101112, 1, 1
105508, 1, 1
109904, 1, 1
114300, 1, 1
118697, 1, 1
123093, 1, 1
127489, 1, 1
131885, 1, 1
136281, 1, 1
140678, 1, 1
145074, 1, 1
149470, 1, 1
153866, 1, 1
158262, 1, 1
162659, 1, 1
167055, 1, 1
171451, 1, 1
175847, 1, 1
180243, 1, 1
184639, 1, 1
189036, 1, 1
193432, 1, 1
197828, 1, 1
202224, 1, 1
206620, 1, 1
211017, 1, 1
215413, 1, 1
219809, 1, 1
224205, 1, 1
228601, 1, 1
232998, 1, 1
237394, 1, 1
241790, 1, 1
246186, 1, 1
250582, 1, 1
254979, 1, 1
259375, 1, 1
263771, 1, 1
268167, 1, 1
272563, 1, 1
276959, 1, 1
281356, 1, 1
285752, 1, 1
290148, 1, 1
294544, 1, 1
298940, 1, 1
303337, 1, 1
307733, 1, 1
312129, 1, 1
316525, 1, 1
320921, 1, 1
325318, 1, 1
329714, 1, 1
334110, 1, 1
338506, 1, 1
342902, 1, 1
347299, 1, 1
351695, 1, 1
356091, 1, 1
360487, 1, 1
364883, 1, 1
369279, 1, 1
373676, 1, 1
378072, 1, 1
382468, 1, 1
386864, 1, 1
391260, 1, 1
395657, 1, 1
400053, 1, 1
404449, 1, 1
408845, 1, 1
413241, 1, 1
417638, 1, 1
422034, 1, 1
426430, 1, 1
430826, 1, 1
435222, 1, 1
439619, 1, 1
