logging to /opt/flows_res_1000/2016020900-2016021000_unique/tenant_1_profile_res-FIX_RATE-FLOWS-0.01.csvtracefile: /data1/tenant_trace/2016020900-2016021000_unique/tenant_1_trace
open file /data1/tenant_trace/2016020900-2016021000_unique/tenant_1_trace
[FILE]: /data1/tenant_trace/2016020900-2016021000_unique/tenant_1_trace
total_access_num: 130
total_access_size: 306345
unique_access_num: 130
unique_access_size: 306345
min_item_size: 1
[method]: FLOWS
[metric]: MAE
[seed]: 42
[sample_method]: FIX_RATE
[sample_metric]: 0.01
MAEQ_factor: 1.012725
cache_size, BMRC_ratio, OMRC_ratio
306, 1.000000, 1.000000
612, 1.000000, 1.000000
919, 1.000000, 1.000000
1225, 1.000000, 1.000000
1531, 1.000000, 1.000000
1838, 1.000000, 1.000000
2144, 1.000000, 1.000000
2450, 1.000000, 1.000000
2757, 1.000000, 1.000000
3063, 1.000000, 1.000000
3369, 1.000000, 1.000000
3676, 1.000000, 1.000000
3982, 1.000000, 1.000000
4288, 1.000000, 1.000000
4595, 1.000000, 1.000000
4901, 1.000000, 1.000000
5207, 1.000000, 1.000000
5514, 1.000000, 1.000000
5820, 1.000000, 1.000000
6126, 1.000000, 1.000000
6433, 1.000000, 1.000000
6739, 1.000000, 1.000000
7045, 1.000000, 1.000000
7352, 1.000000, 1.000000
7658, 1.000000, 1.000000
7964, 1.000000, 1.000000
8271, 1.000000, 1.000000
8577, 1.000000, 1.000000
8884, 1.000000, 1.000000
9190, 1.000000, 1.000000
9496, 1.000000, 1.000000
9803, 1.000000, 1.000000
10109, 1.000000, 1.000000
10415, 1.000000, 1.000000
10722, 1.000000, 1.000000
11028, 1.000000, 1.000000
11334, 1.000000, 1.000000
11641, 1.000000, 1.000000
11947, 1.000000, 1.000000
12253, 1.000000, 1.000000
12560, 1.000000, 1.000000
12866, 1.000000, 1.000000
13172, 1.000000, 1.000000
13479, 1.000000, 1.000000
13785, 1.000000, 1.000000
14091, 1.000000, 1.000000
14398, 1.000000, 1.000000
14704, 1.000000, 1.000000
15010, 1.000000, 1.000000
15317, 1.000000, 1.000000
15623, 1.000000, 1.000000
15929, 1.000000, 1.000000
16236, 1.000000, 1.000000
16542, 1.000000, 1.000000
16848, 1.000000, 1.000000
17155, 1.000000, 1.000000
17461, 1.000000, 1.000000
17768, 1.000000, 1.000000
18074, 1.000000, 1.000000
18380, 1.000000, 1.000000
18687, 1.000000, 1.000000
18993, 1.000000, 1.000000
19299, 1.000000, 1.000000
19606, 1.000000, 1.000000
19912, 1.000000, 1.000000
20218, 1.000000, 1.000000
20525, 1.000000, 1.000000
20831, 1.000000, 1.000000
21137, 1.000000, 1.000000
21444, 1.000000, 1.000000
21750, 1.000000, 1.000000
22056, 1.000000, 1.000000
22363, 1.000000, 1.000000
22669, 1.000000, 1.000000
22975, 1.000000, 1.000000
23282, 1.000000, 1.000000
23588, 1.000000, 1.000000
23894, 1.000000, 1.000000
24201, 1.000000, 1.000000
24507, 1.000000, 1.000000
24813, 1.000000, 1.000000
25120, 1.000000, 1.000000
25426, 1.000000, 1.000000
25732, 1.000000, 1.000000
26039, 1.000000, 1.000000
26345, 1.000000, 1.000000
26652, 1.000000, 1.000000
26958, 1.000000, 1.000000
27264, 1.000000, 1.000000
27571, 1.000000, 1.000000
27877, 1.000000, 1.000000
28183, 1.000000, 1.000000
28490, 1.000000, 1.000000
28796, 1.000000, 1.000000
29102, 1.000000, 1.000000
29409, 1.000000, 1.000000
29715, 1.000000, 1.000000
30021, 1.000000, 1.000000
30328, 1.000000, 1.000000
30634, 1.000000, 1.000000
30940, 1.000000, 1.000000
31247, 1.000000, 1.000000
31553, 1.000000, 1.000000
31859, 1.000000, 1.000000
32166, 1.000000, 1.000000
32472, 1.000000, 1.000000
32778, 1.000000, 1.000000
33085, 1.000000, 1.000000
33391, 1.000000, 1.000000
33697, 1.000000, 1.000000
34004, 1.000000, 1.000000
34310, 1.000000, 1.000000
34616, 1.000000, 1.000000
34923, 1.000000, 1.000000
35229, 1.000000, 1.000000
35536, 1.000000, 1.000000
35842, 1.000000, 1.000000
36148, 1.000000, 1.000000
36455, 1.000000, 1.000000
36761, 1.000000, 1.000000
37067, 1.000000, 1.000000
37374, 1.000000, 1.000000
37680, 1.000000, 1.000000
37986, 1.000000, 1.000000
38293, 1.000000, 1.000000
38599, 1.000000, 1.000000
38905, 1.000000, 1.000000
39212, 1.000000, 1.000000
39518, 1.000000, 1.000000
39824, 1.000000, 1.000000
40131, 1.000000, 1.000000
40437, 1.000000, 1.000000
40743, 1.000000, 1.000000
41050, 1.000000, 1.000000
41356, 1.000000, 1.000000
41662, 1.000000, 1.000000
41969, 1.000000, 1.000000
42275, 1.000000, 1.000000
42581, 1.000000, 1.000000
42888, 1.000000, 1.000000
43194, 1.000000, 1.000000
43500, 1.000000, 1.000000
43807, 1.000000, 1.000000
44113, 1.000000, 1.000000
44420, 1.000000, 1.000000
44726, 1.000000, 1.000000
45032, 1.000000, 1.000000
